NAME               KEYWORD       S                         L                         ANGLE                     ROLL                      K0L                       K0SL                      K1L                       K1SL                      K2L                       K2SL                      HKICK                     VKICK                     KICK                      X                         XP                        Y                         YP                        DX                        DPX                       DY                        DPY                       BETA11                    BETA12                    BETA21                    BETA22                    ALFA11                    ALFA12                    ALFA21                    ALFA22                   
BEGINNING          Beginning_Ele +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -7.35187541761088061E-016 +8.78560616860162127E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 +9.59407027338450696E-014 +2.16713691234751642E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.00000000000043898E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.20000000019897363E-002 -5.72086970266979981E-014 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.26608303760262219E-011
IP6D               Marker        +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -7.35187541761088061E-016 +8.78560616860162127E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 +9.59407027338450696E-014 +2.16713691234751642E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.00000000000043898E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.20000000019897363E-002 -5.72086970266979981E-014 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.26608303760262219E-011
PB_SOL_R           Patch         +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -7.35417347712814271E-016 -2.49973959147114545E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +9.59706920131087308E-014 +2.16647406473257565E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +8.00500208407186054E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.20000000019897363E-002 -5.72316764249521507E-014 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.26605750493789583E-011
STAR_DETECT_R      Solenoid      +2.00000000000000000E+000 +2.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -5.00104192714912743E-002 -2.49973959147114545E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.29662732397562495E-013 +2.16647406473257565E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.80675476824993542E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.56622922487510081E+001 -2.50078145350216374E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -2.77864605936488367E+001
PE_SOL_R           Patch         +2.00125013025039022E+000 +1.25013025039025227E-003 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.01969866503715183E-015 +8.74300631892310776E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.29497221414321415E-013 +2.16720265283326405E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.80312630254463624E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.56622922487510081E+001 -2.50078145350216374E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -2.77864605936488367E+001
O1PR#1             Drift         +5.30062496744859857E+000 +3.29937483719820790E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.90434417004913489E-015 +8.74300631892310776E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.24453861140104883E-012 +2.16720265283326405E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.59124999999987580E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.90210888877551611E+002 -6.62499999999969535E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -7.36111111090242503E+001
Q1APR              Quadrupole    +7.10062496744859839E+000 +1.80000000000000004E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -1.53794426121014211E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +6.10470914744257912E-015 +1.62669146806318924E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.82851751864022565E-012 +4.46989473684520492E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.97456890290493163E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.51524660891804160E+002 -1.99334646856099198E+001 -0.00000000000000000E+000 +0.00000000000000000E+000 -7.58117264633739296E+000
O1PR#2             Drift         +7.60062496744859839E+000 +5.00000000000000000E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +6.91805488147417394E-015 +1.62669146806318924E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.05201225548248600E-012 +4.46989473684520492E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.00927945402405996E+002 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.59132339233552784E+002 -2.24310480611034322E+001 -0.00000000000000000E+000 +0.00000000000000000E+000 -7.63418403715990213E+000
Q1BPR              Quadrupole    +9.00062496744859786E+000 +1.39999999999999991E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -1.10264700725363041E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +9.79534661155020469E-015 +2.53646702759651015E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.85384857402155276E-012 +7.13136307477594813E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.97104600373774730E+002 +0.00000000000000000E+000 +0.00000000000000000E+000 +4.96609884394433607E+002 -4.97656730906123954E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +4.99710709709931464E+001
O1PR#3             Drift         +1.05006249674485908E+001 +1.49999999999999289E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.36000471529449530E-014 +2.53646702759651015E-015 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.92355303523793963E-012 +7.13136307477594813E-013 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.74684318173663939E+002 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.58014897372844359E+002 -6.86208054426476366E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +4.24255870434001139E+001
